GitHub Repository,ORCID
https://github.com/CLARIAH/grlc,https://orcid.org/0000-0001-8364-3201
https://github.com/proycon/nederlab-pipeline/issues,https://orcid.org/0000-0002-1046-0006
https://github.com/rug-compling/Alpino.git,https://orcid.org/0000-0001-5565-7577
https://github.com/CentreForDigitalHumanities/tscan/issues,https://orcid.org/0000-0003-2493-656X
https://github.com/rug-compling/alud.git,https://orcid.org/0000-0002-0079-2533
https://github.com/opensource-spraakherkenning-nl/asr_nl/issues,https://orcid.org/0000-0003-4646-5842
https://github.com/CLARIAH/tool-discovery/blob/master/API_USAGE.md,https://orcid.org/0000-0003-1106-3181
https://github.com/LanguageMachines/foliautils/blob/master/README.md,https://orcid.org/0000-0001-5564-6341
https://github.com/odissei-data/ingestion-workflow-orchestrator/blob/main/README.md,https://orcid.org/0000-0001-9447-9830
https://github.com/CLARIAH/tool-discovery/blob/master/CONTRIBUTING.md,https://orcid.org/0000-0002-5145-3603
https://github.com/proycon/clam/blob/master/README.rst,https://orcid.org/0000-0002-7748-4715
https://github.com/proycon/colibri-core/releases,https://orcid.org/0000-0002-6978-5278
https://github.com/LanguageMachines/mbt/issues,https://orcid.org/0000-0002-2713-213X
https://github.com/odissei-data/ODISSEI-code-library/blob/main/README.md,https://orcid.org/0009-0007-6621-9696
https://github.com/rug-compling/paqu/blob/master/Changes.txt,https://orcid.org/0009-0002-8007-5119
https://github.com/LanguageMachines/frog,
https://github.com/odissei-data/odissei-devstack,
https://github.com/mwigham,
https://github.com/proycon/codemeta-server.git,
https://github.com/proycon/codemetapy.git,
https://github.com/odissei-data/odissei-kg/,
https://github.com/CLARIAH/tool-discovery/actions/,
https://github.com/rug-compling/alud/blob/master/README.md,
https://github.com/LanguageMachines/frog/actions/workflows/frog.yml,
14040777+RoderickvanderWeerdt@users.noreply.github.com,
https://github.com/beeldengeluid/dane-workflows,
https://github.com/beeldengeluid/dane-workflows/issues,
https://github.com/rug-compling/Alpino/blob/master/README.md,
https://github.com/opensource-spraakherkenning-nl/forcedalignment2/issues,
https://github.com/proycon/codemetapy/blob/master/README.md,
https://github.com/CLARIAH/tool-discovery.git,
https://github.com/proycon/codemeta-harvester/issues,
github.com@steltenpower.com,
https://github.com/rug-compling/alpinograph/issues,
https://github.com/CLARIAH/dane-download-worker,
https://github.com/GreekPerspective/glem/issues,
https://github.com/odissei-data/ODISSEI-code-library,
https://github.com/LanguageMachines/ucto,
https://github.com/proycon/LaMachine/blob/master/README.md,
https://github.com/rug-compling/alpinograph/blob/master/README.md,
https://github.com/CentreForDigitalHumanities/tscan/releases,
alud package - github.com/rug-compling/alud/v2 - Go Packages,
https://github.com/MartijnBNG,
https://github.com/proycon/clam,
https://github.com/LanguageMachines/timbl/blob/master/README.md,
https://github.com/CLARIAH/grlc/issues,
https://github.com/proycon/clam/releases,
https://github.com/odissei-data/ODISSEI-code-library/issues,
https://github.com/proycon/LaMachine/issues,
https://github.com/knaw-huc/textrepo/releases/tag/v1.19.0,
https://github.com/proycon/CLARIAH/tool-discovery/blob/master/README.md,
https://github.com/opensource-spraakherkenning-nl/forcedalignment2,
https://github.com/CLARIAH/burgerLinker.git,
https://github.com/odissei-data/odissei-kg,
https://github.com/opensource-spraakherkenning-nl/asr_nl/blob/master/README.md,
https://github.com/CLARIAH/dane-asr-worker,
https://github.com/rug-compling/alpinograph.git,
https://github.com/CLARIAH/clariah-mediasuite/blob/main/README.md,
https://github.com/CLARIAH/dane-download-worker/issues,
https://github.com/LanguageMachines/ucto/releases,
https://github.com/rug-compling/paqu/blob/master/README.md,
https://github.com/proycon/clam/issues,
https://github.com/CLARIAH/clariah-plus/blob/main/requirements/software-metadata-requirements.md,
https://github.com/rug-compling/paqu.git,
https://github.com/ErwinKomen/RU-Cesar/issues,
https://github.com/knaw-huc/textrepo/archive/refs/tags/v1.19.0.zip,
https://github.com/proycon/codemeta-server/blob/master/README.md,
https://github.com/LanguageMachines/ticcltools,
https://github.com/LanguageMachines/timbl,
https://github.com/jblom,
https://github.com/LanguageMachines/foliautils,
https://github.com/LanguageMachines/PICCL/releases,
https://github.com/proycon/LaMachine/releases,
https://github.com/rug-compling/alpinograph/blob/master/Changes.txt,
https://github.com/proycon/codemetapy/blob/README.rst,
https://github.com/CLARIAH/COW/issues,
https://github.com/CLARIAH/COW/blob/1.21/README.md,
https://github.com/LanguageMachines/ticcltools/issues,
https://github.com/proycon/clam/raw/master/docs/clam_manual.pdf,
https://github.com/LanguageMachines/ucto/blob/master/README.md,
https://github.com/proycon/nederlab-pipeline/blob/master/README.md,
https://github.com/rug-compling/paqu/archive/refs/heads/master.zip,
https://github.com/CLARIAH/COW/releases/tag/1.21,
https://github.com/odissei-data/ingestion-workflow-orchestrator,
https://github.com/proycon/folia/raw/master/docs/folia.pdf,
https://github.com/LanguageMachines/frog/raw/master/docs/frogmanual.pdf,
https://github.com/beeldengeluid/clariah-mediasuite,
https://github.com/proycon/nederlab-pipeline/releases,
https://github.com/LanguageMachines/foliautils/issues,
https://github.com/rug-compling/alud/issues,
https://github.com/ErwinKomen/RU-Cesar,
https://github.com/netwerk-digitaal-erfgoed/dataset-register.git,
https://github.com/LanguageMachines/timbl/releases,
https://github.com/LanguageMachines/PICCL/blob/master/README.md,
https://github.com/mwestera/choicellm/issues,
https://github.com/proycon/codemeta-harvester/blob/master/README.md,
https://github.com/opensource-spraakherkenning-nl/forcedalignment2/blob/master/README.md,
https://github.com/proycon/codemetapy/issues,
https://github.com/LanguageMachines/timbl/raw/master/docs/Timbl_6.4_Manual.pdf,
https://github.com/LanguageMachines/ucto/actions/workflows/ucto.yml,
https://github.com/LanguageMachines/libfolia,
https://github.com/proycon/colibri-core/blob/master/README.md,
https://github.com/rug-compling/paqu#benodigde-software,
https://github.com/rug-compling/alud/archive/refs/heads/master.zip,
https://github.com/rug-compling/alud/blob/master/Changes.txt,
https://github.com/odissei-data/odissei-kg/blob/main/README.md,
https://github.com/CentreForDigitalHumanities/tscan/blob/master/README.md,
https://github.com/LanguageMachines/PICCL,
https://github.com/LanguageMachines/frog/blob/master/README.md,
https://github.com/netwerk-digitaal-erfgoed/dataset-register/issues,
https://github.com/beeldengeluid/mediasuite-website/actions/workflows/nightly-production-deploy.yml,
https://github.com/odissei-data/ODISSEI-code-library/deployments,
https://github.com/LanguageMachines/mbt/releases,
https://github.com/proycon/codemeta-server/issues,
https://github.com/CLARIAH/DANE-server,
https://github.com/LanguageMachines/ticcltools/blob/master/README.md,
https://github.com/LanguageMachines/ticcltools/releases,
https://github.com/LanguageMachines/PICCL/issues,
https://github.com/LanguageMachines/timbl/issues,
https://github.com/CLARIAH/burgerLinker/blob//README.md,
https://github.com/CentreForDigitalHumanities/tscan/actions,
https://github.com/GreekPerspective/glem/releases,
https://github.com/LanguageMachines/frog/releases,
"Please consult the CLARIAH Software Metadata Requirements at https://github.com/CLARIAH/clariah-plus/blob/main/requirements/software-metadata-requirements.md for an in-depth explanation of any found problems

Validation of cow-csvw 1.21 was successful (score=3/5), but there are some warnings which should be addressed:

1. Warning: Software source code *SHOULD* link to a continuous integration service that builds the software and runs the software's tests (This is missing in the metadata)
2. Info: Reference publications *SHOULD* be expressed (This is missing in the metadata)
3. Info: The funder *SHOULD* be acknowledged (This is missing in the metadata)
4. Info: The technology readiness level *SHOULD* be expressed (This is missing in the metadata)",
https://github.com/netwerk-digitaal-erfgoed/dataset-register/actions,
https://github.com/odissei-data/odissei-kg/issues,
https://github.com/LanguageMachines/libfolia/blob/master/README.md,
https://github.com/proycon/colibri-core/issues,
https://github.com/CLARIAH/COW/archive/refs/tags/1.21.zip,
https://github.com/proycon/codemeta-harvester.git,
https://github.com/mwestera/choicellm,
https://github.com/rug-compling/alpinograph/archive/refs/heads/master.zip,
https://github.com/LanguageMachines/libfolia/issues,
https://github.com/LanguageMachines/mbt,
https://github.com/proycon/LaMachine,
https://github.com/CLARIAH/burgerLinker/issues,
https://github.com/CLARIAH/COW,
jetschni@users.noreply.github.com,
https://github.com/LanguageMachines/libfolia/releases,
https://github.com/proycon/nederlab-pipeline,
https://github.com/CLARIAH/grlc/wiki,
https://github.com/odissei-data/ingestion-workflow-orchestrator/issues,
https://github.com/netwerk-digitaal-erfgoed/dataset-register#readme,
https://github.com/LanguageMachines/frog/issues,
https://github.com/odissei-data/odissei-devstack/issues,
https://github.com/CLARIAH/grlc.git,
https://github.com/beeldengeluid/clariah-mediasuite/issues,
https://github.com/proycon/colibri-core,
https://github.com/rug-compling/paqu/issues,
https://github.com/LanguageMachines/foliautils/releases,
https://github.com/proycon/codemeta2html.git,
https://github.com/proycon/codemeta2html/blob/README.md,
https://github.com/odissei-data/odissei-devstack/blob/main/README.md,
https://github.com/proycon/codemetapy/actions/,
https://github.com/proycon/clam/actions/workflows/clam.yml,
https://github.com/CentreForDigitalHumanities/tscan,
https://github.com/knaw-huc/textrepo/issues,
https://github.com/CLARIAH/dane-asr-worker/issues,
https://github.com/CLARIAH/tool-discovery/issues,
https://github.com/opensource-spraakherkenning-nl/asr_nl,
https://pkg.go.dev/github.com/rug-compling/alud/v2,
github.com/rug-compling/alud,
38520885+mwigham@users.noreply.github.com,
https://github.com/GreekPerspective/glem/blob/master/README.md,
44729293+melvinroest@users.noreply.github.com,
https://github.com/CentreForDigitalHumanities/tscan/raw/master/docs/tscanhandleiding.pdf,
https://github.com/GreekPerspective/glem,
https://github.com/rug-compling/Alpino/issues,
https://github.com/LanguageMachines/mbt/blob/master/README.md,
https://github.com/LanguageMachines/ucto/issues,
https://github.com/CLARIAH/grlc/blob//README.md,
https://github.com/knaw-huc/textrepo,
https://github.com/proycon/codemeta2html/issues,
